Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
SDSSp J225529.09-003433.4,10.0,Field,16.9,0.8,14.584,0.002,15.894,0.002,14.715,0.003,14.379,0.006,15.382,0.004,14.773,0.003,14.453,0.003,15.127,0.002,14.702,0.007,14.794,0.017
SERC 296A,6.0,Young,12.88,0.08,11.948,0.007,12.901,0.001,12.030,0.011,11.846,0.003,12.539,0.008,12.087,0.001,11.876,0.002,12.355,0.003,12.015,0.004,12.102,0.066
SIMP J013656.5+093347.3,22.5,Young,163.4,0.5,12.867,0.001,13.768,0.002,13.172,0.002,12.293,0.003,14.334,0.002,12.609,0.002,12.480,0.001,13.351,0.001,12.561,0.004,13.397,0.007
SIMP J21543454-1055308,14.0,Young,32.6,1.0,14.742,0.003,16.838,0.004,15.047,0.005,14.319,0.007,16.335,0.007,15.126,0.004,14.463,0.003,15.778,0.004,15.013,0.011,15.131,0.022
SIPS J0050-1538,11.0,Field,40.37,0.22,12.969,0.001,14.031,0.002,13.120,0.002,12.700,0.004,13.795,0.002,13.030,0.002,12.800,0.002,13.471,0.001,12.936,0.004,13.224,0.006
SIPS J0614-2019,12.0,Field,32.5,0.4,13.716,0.003,15.108,0.002,13.902,0.004,13.415,0.006,14.728,0.005,13.911,0.003,13.525,0.003,14.374,0.003,13.846,0.007,14.027,0.023
SSSPM J0124-4240,8.0,Field,38.95,0.12,12.320,0.001,13.409,0.001,12.454,0.002,12.106,0.004,13.056,0.002,12.438,0.002,12.176,0.002,12.795,0.001,12.364,0.004,12.553,0.007
SSSPM J0219-1939,11.0,Field,36.5,0.24,13.166,0.002,14.390,0.003,13.335,0.003,12.863,0.006,14.075,0.003,13.268,0.003,12.979,0.002,13.718,0.002,13.190,0.007,13.429,0.015
SSSPM J0306-3648,8.0,Field,75.42,0.06,10.894,0.001,11.971,0.001,11.021,0.002,10.686,0.003,11.640,0.002,11.012,0.002,10.761,0.002,11.378,0.001,10.925,0.004,11.087,0.005
SSSPM J0829-1309,12.0,Field,85.6,0.14,11.637,0.001,13.060,0.001,11.838,0.001,11.318,0.003,12.645,0.002,11.845,0.002,11.429,0.001,12.293,0.001,11.780,0.004,11.963,0.005
SSSPM J1102-3431,8.5,Young,16.88,0.13,12.166,0.001,13.287,0.001,12.306,0.001,11.961,0.003,13.021,0.002,12.324,0.002,12.026,0.002,12.736,0.001,12.218,0.004,12.386,0.006
SSSPM J2310-1759,10.0,Field,26.9,0.4,13.289,0.001,14.649,0.001,13.465,0.002,13.017,0.004,14.238,0.002,13.487,0.002,13.107,0.002,13.913,0.001,13.407,0.005,13.522,0.007
SSSPM J2356-3426,9.0,Field,52.75,0.12,12.204,0.002,13.244,0.002,12.393,0.003,11.950,0.005,13.014,0.003,12.348,0.002,12.013,0.002,12.742,0.002,12.238,0.006,12.524,0.017
SSSPM J2400-2008,9.5,Field,32.75,0.29,13.776,0.001,14.629,0.001,13.926,0.002,13.528,0.003,14.486,0.002,13.852,0.002,13.613,0.002,14.227,0.001,13.761,0.005,14.041,0.006
TVLM 213-2005,7.0,Field,30.14,0.14,12.559,0.009,13.677,0.005,12.687,0.013,12.345,0.015,13.264,0.012,12.689,0.005,12.421,0.010,13.019,0.006,12.623,0.014,12.738,0.069
TVLM 262-111511,8.0,Field,24.94,0.25,13.321,0.003,14.380,0.002,13.468,0.004,13.084,0.005,14.090,0.004,13.433,0.002,13.166,0.002,13.812,0.002,13.345,0.005,13.559,0.022
TVLM 262-70502,6.5,Field,19.01,0.14,13.290,0.004,14.352,0.002,13.407,0.006,13.099,0.008,13.951,0.006,13.435,0.003,13.170,0.004,13.737,0.003,13.358,0.008,13.494,0.034
TVLM 263-71765,8.0,Field,29.0,0.16,12.491,0.004,13.614,0.003,12.611,0.007,12.316,0.010,13.196,0.008,12.668,0.003,12.374,0.004,12.978,0.004,12.601,0.007,12.586,0.035
TVLM 513-42404A,7.0,Field,15.33,0.17,13.652,0.002,14.589,0.002,13.750,0.003,13.507,0.003,14.260,0.002,13.767,0.002,13.553,0.002,14.061,0.001,13.696,0.004,13.786,0.013
TVLM 513-42404B,9.0,Field,15.7,0.5,14.576,0.002,15.702,0.002,14.737,0.004,14.313,0.005,15.440,0.004,14.684,0.003,14.406,0.002,15.116,0.002,14.593,0.005,14.797,0.029
TVLM 513-46546,8.5,Field,93.17,0.14,10.967,0.001,12.146,0.001,11.123,0.001,10.719,0.004,11.796,0.002,11.116,0.002,10.805,0.001,11.507,0.001,11.039,0.004,11.192,0.005
TVLM 831-154910,7.3,Young,19.66,0.11,12.116,0.009,13.087,0.002,12.208,0.014,11.985,0.005,12.764,0.008,12.251,0.001,12.032,0.002,12.553,0.004,12.174,0.005,12.303,0.067
TVLM 831-161058,8.0,Field,28.16,0.18,12.919,0.001,14.009,0.001,13.038,0.001,12.733,0.004,13.638,0.002,13.062,0.002,12.798,0.002,13.402,0.001,12.984,0.004,13.083,0.005
TVLM 831-165166,7.0,Field,17.33,0.14,13.474,0.106,14.408,0.005,13.573,0.174,13.334,0.020,14.195,0.073,13.608,0.005,13.377,0.008,13.947,0.031,13.514,0.012,15.128,1.878
TVLM 832-10443,8.0,Field,42.4,0.4,12.128,0.001,13.393,0.001,12.214,0.002,12.013,0.003,12.872,0.003,12.393,0.002,12.069,0.002,12.692,0.002,12.310,0.004,12.071,0.009
TVLM 868-110639,9.0,Field,55.8,0.5,11.648,0.001,12.954,0.002,11.812,0.001,11.393,0.003,12.526,0.002,11.845,0.002,11.480,0.001,12.235,0.001,11.770,0.004,11.880,0.006
PSO J178.1434-23.8603,9.7,Young,4.4,1.1,15.857,0.007,17.252,0.004,15.999,0.011,15.657,0.014,16.787,0.011,16.102,0.007,15.721,0.007,16.517,0.007,16.029,0.018,16.077,0.054
TWA 26,9.0,Young,21.41,0.23,11.801,0.001,12.987,0.001,11.968,0.003,11.556,0.004,12.725,0.003,11.950,0.002,11.629,0.002,12.401,0.002,11.837,0.004,12.113,0.016
TWA 29,9.5,Young,12.2,0.3,13.619,0.003,14.840,0.003,13.767,0.005,13.382,0.007,14.555,0.005,13.780,0.003,13.468,0.004,14.239,0.003,13.677,0.009,13.875,0.023
Teegarden's Star,6.5,Young,260.99,0.09,7.775,0.002,8.615,0.002,7.885,0.003,7.599,0.004,8.402,0.003,7.834,0.002,7.658,0.002,8.173,0.002,7.737,0.006,8.010,0.015
PSO J036.9069+08.5025,16.0,Field,29.6,0.3,15.223,0.009,16.669,0.006,15.493,0.016,14.768,0.015,16.643,0.025,15.220,0.008,14.919,0.007,15.906,0.009,15.128,0.016,15.879,0.099
UGPS J052127.27+364048.6,28.5,Field,122.2,1.6,17.657,0.022,17.559,0.004,18.873,0.082,16.544,0.022,20.173,0.165,16.872,0.009,16.831,0.015,17.646,0.012,18.305,0.104,20.106,1.044
UGPS J072227.51-054031.2,29.0,Field,242.8,2.4,17.156,0.016,17.008,0.003,18.389,0.067,16.163,0.015,19.884,0.153,16.511,0.007,16.362,0.008,17.293,0.010,18.332,0.099,18.295,0.376
ULAS J102940.52+093514.6,28.0,Field,68.6,1.7,17.658,0.023,17.754,0.006,18.708,0.074,16.694,0.033,20.019,0.109,17.320,0.016,16.916,0.018,18.050,0.017,18.592,0.132,18.975,0.427
ULAS J131610.13+031205.5,23.0,Young,29.0,2.4,15.831,0.006,17.270,0.004,16.180,0.011,15.322,0.009,17.389,0.015,16.039,0.005,15.482,0.005,16.680,0.006,16.068,0.013,16.342,0.057
ULAS J232123.79+135454.9,27.5,Field,82.8,2.1,17.386,0.021,17.545,0.004,18.479,0.072,16.362,0.020,19.635,0.102,17.017,0.009,16.618,0.011,17.742,0.012,18.341,0.076,19.249,0.861
ULAS J234228.97+085620.1,26.5,Field,39.9,2.8,17.250,0.015,16.964,0.003,17.773,0.032,16.447,0.026,18.941,0.046,16.494,0.008,16.662,0.014,17.262,0.008,17.112,0.034,18.127,0.208
ULAS2MASS J0106+1518,8.0,Field,25.6,0.26,13.704,0.002,14.597,0.002,13.838,0.004,13.475,0.005,14.456,0.004,13.743,0.002,13.555,0.002,14.162,0.002,13.637,0.005,13.938,0.027
ULAS2MASS J1452+1114,12.9,Field,23.9,0.9,14.592,0.003,16.010,0.002,14.765,0.006,14.308,0.006,15.594,0.006,14.791,0.003,14.415,0.003,15.254,0.003,14.703,0.008,14.840,0.035
VHS J154352.78-043909.6,25.0,Field,34.0,4.0,16.755,0.037,16.922,0.009,17.113,0.075,16.096,0.040,18.535,0.121,16.304,0.018,16.303,0.028,17.068,0.022,16.449,0.057,16.803,0.272
WISE J004024.88+090054.8,27.0,Field,69.8,1.5,16.632,0.015,16.721,0.003,17.298,0.040,15.751,0.014,18.384,0.051,16.243,0.006,16.012,0.008,16.950,0.009,16.978,0.028,17.476,0.293
WISE J004542.56+361139.1,25.0,Field,57.0,4.0,16.189,0.008,16.391,0.002,16.633,0.016,15.477,0.010,18.019,0.026,15.890,0.004,15.695,0.006,16.621,0.005,16.209,0.014,16.640,0.092
WISE J004945.61+215120.0,28.5,Field,140.4,2.1,16.975,0.017,16.823,0.003,17.926,0.055,16.009,0.016,19.806,0.163,16.465,0.007,16.258,0.010,17.234,0.011,17.851,0.065,17.544,0.209
WISE J013525.64+171503.4,26.0,Field,47.0,4.0,18.060,0.059,17.635,0.006,18.442,0.105,17.400,0.067,19.370,0.125,17.233,0.018,17.540,0.034,17.934,0.024,17.788,0.076,18.377,0.507
WISE J023038.90-022554.0,18.0,Field,35.0,4.0,15.489,0.006,17.326,0.005,15.819,0.012,15.016,0.009,17.131,0.021,15.712,0.006,15.163,0.004,16.409,0.007,15.611,0.012,15.912,0.077
WISE J024124.73-365328.0,27.0,Young,53.1,2.5,17.421,0.020,17.268,0.003,18.060,0.045,16.585,0.020,19.105,0.072,16.820,0.010,16.795,0.014,17.522,0.012,17.541,0.045,18.441,0.320
WISE J024512.62-345047.8,28.0,Field,43.0,4.0,18.302,0.049,18.125,0.011,19.252,0.154,17.340,0.049,20.017,0.168,17.879,0.023,17.588,0.027,18.551,0.030,19.248,0.231,20.879,4.657
WISE J032547.72+083118.2,27.0,Field,76.3,2.8,16.379,0.011,16.605,0.003,16.975,0.023,15.625,0.018,18.428,0.049,16.179,0.008,15.808,0.010,16.874,0.009,16.855,0.044,16.819,0.106
WISE J033651.90+282628.8,25.0,Field,40.0,3.0,16.622,0.017,16.789,0.005,17.136,0.033,15.824,0.026,18.169,0.041,16.146,0.010,16.066,0.014,16.861,0.010,16.366,0.033,17.628,0.279
WISE J033713.43+114824.5,7.0,Field,14.71,0.28,14.379,0.001,15.157,0.002,14.494,0.002,14.187,0.004,15.005,0.002,14.399,0.002,14.250,0.002,14.760,0.002,14.303,0.005,14.594,0.009
WISE J040137.21+284951.7,13.0,Field,80.38,0.21,12.207,0.001,13.771,0.002,12.435,0.002,11.859,0.004,13.349,0.003,12.419,0.002,11.977,0.002,12.924,0.001,12.350,0.005,12.493,0.007
WISE J040418.01+412735.6,12.0,Field,61.7,0.4,12.793,0.001,14.512,0.002,13.040,0.002,12.436,0.004,14.017,0.003,13.088,0.002,12.556,0.001,13.597,0.002,13.013,0.005,13.089,0.009
WISE J052126.29+102528.4,27.5,Field,150.0,3.0,15.268,0.014,15.380,0.002,16.123,0.048,14.345,0.007,17.190,0.074,15.041,0.006,14.580,0.005,15.721,0.011,16.029,0.035,16.525,0.369
WISE J054601.19-095947.5,25.0,Field,50.0,4.0,16.611,0.018,16.495,0.004,17.028,0.035,15.894,0.023,17.945,0.040,15.997,0.010,16.119,0.014,16.692,0.011,16.331,0.033,17.720,0.194
WISE J061437.73+095135.0,27.0,Field,64.9,2.0,16.796,0.012,17.053,0.002,17.471,0.033,15.890,0.010,18.817,0.057,16.419,0.006,16.163,0.006,17.167,0.008,17.160,0.027,17.350,0.171
WISE J062442.37+662625.6,11.0,Field,47.59,0.15,12.629,0.002,13.882,0.002,12.820,0.002,12.311,0.005,13.575,0.003,12.749,0.002,12.425,0.002,13.209,0.002,12.675,0.006,12.919,0.011
WISE J064205.58+410155.5,19.0,Field,64.1,1.1,14.733,0.003,16.694,0.003,15.100,0.006,14.224,0.006,16.531,0.011,15.016,0.004,14.377,0.004,15.744,0.004,14.924,0.011,15.206,0.032
WISE J080700.23+413026.8,18.0,Field,51.0,3.0,14.645,0.002,16.373,0.002,14.941,0.002,14.215,0.004,16.018,0.003,14.872,0.002,14.347,0.002,15.456,0.002,14.782,0.006,15.060,0.009
WISE J083450.79+642526.8,8.0,Field,13.6,0.5,14.996,0.002,15.946,0.002,15.129,0.003,14.769,0.005,15.745,0.003,15.078,0.002,14.853,0.002,15.476,0.002,14.978,0.007,15.246,0.013
WISE J092055.40+453856.3,19.5,Field,81.3,1.5,14.080,0.002,15.455,0.002,14.391,0.003,13.539,0.004,15.487,0.004,14.037,0.002,13.717,0.002,14.729,0.002,13.951,0.005,14.687,0.013
WISE J100926.40+354137.5,8.0,Field,16.4,0.5,14.352,0.002,15.385,0.002,14.503,0.003,14.113,0.005,15.141,0.003,14.450,0.002,14.191,0.002,14.851,0.002,14.361,0.005,14.590,0.017
WISE J103907.73-160002.9,27.5,Field,45.3,2.0,17.556,0.063,17.421,0.008,18.493,0.182,16.623,0.061,19.279,0.188,17.049,0.025,16.839,0.038,17.749,0.032,18.201,0.175,18.037,0.690
WISE J105257.95-194250.2,27.5,Field,67.8,2.2,17.192,0.016,17.369,0.004,17.811,0.038,16.374,0.020,19.138,0.056,16.853,0.008,16.608,0.010,17.559,0.008,17.680,0.042,17.381,0.122
WISE J112438.12-042149.7,27.0,Field,59.4,2.9,16.973,0.014,16.950,0.004,17.739,0.032,16.009,0.019,18.897,0.052,16.542,0.009,16.284,0.011,17.281,0.010,17.306,0.040,18.128,0.204
