Name,Spectral Type,Age Category,plx_mas,plx_mas_err,F200W,F200W_err,F115W,F115W_err,F182M,F182M_err,F212N,F212N_err,F140M,F140M_err,F162M,F162M_err,F210M,F210M_err,F150W,F150W_err,F164N,F164N_err,F187N,F187N_err
1RXS J235133.3+312720 B,10.0,Field,23.125,0.022,14.298,0.003,15.528,0.003,14.440,0.005,14.072,0.008,15.156,0.005,14.499,0.004,14.158,0.004,14.891,0.003,14.417,0.009,14.445,0.034
2MASS J00054844-2157196,9.0,Field,39.38,0.15,12.471,0.001,13.465,0.001,12.600,0.001,12.258,0.003,13.189,0.002,12.560,0.002,12.330,0.001,12.928,0.001,12.477,0.005,12.693,0.007
2MASS J00070787-2458042,7.0,Field,32.58,0.14,12.163,0.002,13.394,0.001,12.268,0.003,12.017,0.004,12.900,0.003,12.395,0.002,12.069,0.002,12.701,0.002,12.323,0.004,12.309,0.014
2MASS J00100009-2031122,10.0,Field,35.66,0.29,13.407,0.001,14.408,0.002,13.567,0.001,13.142,0.004,14.149,0.002,13.532,0.002,13.236,0.001,13.888,0.001,13.463,0.005,13.666,0.005
2MASS J00132229-1143006,23.0,Young,40.0,3.0,16.268,0.011,16.618,0.003,16.660,0.021,15.528,0.015,17.744,0.028,15.832,0.007,15.779,0.009,16.598,0.009,15.913,0.017,17.024,0.114
2MASS J00135882-1816462,11.0,Field,17.787,0.022,15.502,0.008,17.095,0.007,15.754,0.014,15.116,0.014,16.744,0.014,15.731,0.008,15.237,0.006,16.262,0.007,15.670,0.019,15.762,0.065
2MASS J00145575-4844171,12.5,Field,50.78,0.24,13.031,0.002,14.354,0.002,13.237,0.003,12.676,0.005,14.060,0.004,13.137,0.002,12.808,0.002,13.640,0.002,13.045,0.005,13.345,0.018
2MASS J00150206+2959323,17.0,Field,28.572,0.022,14.887,0.005,16.535,0.005,15.148,0.009,14.483,0.008,16.173,0.010,15.092,0.005,14.624,0.004,15.658,0.004,15.010,0.010,15.174,0.041
2MASS J00165953-4056541,13.5,Field,28.8,1.0,13.875,0.002,15.696,0.003,14.141,0.003,13.483,0.006,15.248,0.005,14.154,0.003,13.616,0.003,14.744,0.003,14.038,0.009,14.254,0.018
2MASS J00192626+4614078,8.0,Young,25.74,0.13,11.779,0.001,12.811,0.001,11.903,0.002,11.596,0.003,12.488,0.002,11.912,0.001,11.653,0.001,12.248,0.001,11.829,0.004,11.940,0.007
2MASS J00193927-3724392,13.0,Young,25.0,1.4,14.170,0.006,15.855,0.007,14.405,0.009,13.802,0.010,15.381,0.008,14.408,0.007,13.937,0.006,14.942,0.005,14.314,0.015,14.520,0.037
2MASS J00282091+2249050,17.0,Field,42.9,1.6,14.109,0.004,15.950,0.005,14.380,0.006,13.709,0.011,15.469,0.006,14.380,0.005,13.841,0.005,14.962,0.004,14.283,0.011,14.500,0.049
2MASS J00285545-1927165,10.0,Field,25.74,0.28,13.127,0.002,14.468,0.002,13.319,0.003,12.808,0.006,14.130,0.004,13.274,0.002,12.924,0.003,13.747,0.002,13.190,0.007,13.410,0.016
2MASS J00320509+0219017,11.5,Field,41.3,0.3,13.244,0.002,14.594,0.002,13.420,0.002,12.948,0.004,14.167,0.003,13.409,0.002,13.057,0.002,13.837,0.002,13.356,0.004,13.546,0.012
2MASS J00332386-1521309,14.0,Young,43.5,0.8,14.052,0.002,15.682,0.003,14.266,0.004,13.742,0.004,15.127,0.005,14.406,0.002,13.853,0.002,14.821,0.002,14.336,0.006,14.302,0.020
2MASS J00345157+0523050,26.5,Field,118.8,2.7,16.146,0.006,15.762,0.002,16.729,0.013,15.316,0.008,17.667,0.015,15.290,0.004,15.525,0.004,16.031,0.004,16.040,0.020,17.111,0.093
2MASS J00464841+0715177,9.0,Young,26.47,0.25,12.946,0.001,14.138,0.002,13.116,0.002,12.698,0.004,13.934,0.002,13.127,0.002,12.776,0.002,13.599,0.001,13.005,0.005,13.189,0.006
2MASS J00501994-3322402,27.0,Field,94.6,2.4,16.094,0.023,16.255,0.007,16.866,0.069,15.118,0.019,18.062,0.080,15.792,0.013,15.421,0.011,16.482,0.015,16.763,0.052,17.844,0.829
2MASS J00531899-3631102,13.5,Field,40.2,0.8,13.295,0.001,14.832,0.002,13.541,0.002,12.907,0.004,14.499,0.003,13.447,0.002,13.036,0.002,14.005,0.002,13.361,0.005,13.688,0.009
2MASS J01071607-1517577,7.0,Field,20.61,0.21,12.526,0.002,13.565,0.001,12.621,0.002,12.383,0.003,13.166,0.002,12.681,0.002,12.435,0.001,12.971,0.001,12.603,0.004,12.603,0.014
2MASS J01165457-1357342,9.0,Field,19.04,0.29,13.259,0.002,14.511,0.002,13.393,0.003,13.057,0.006,14.055,0.003,13.453,0.002,13.128,0.002,13.805,0.002,13.385,0.006,13.418,0.014
2MASS J01262109+1428057,14.0,Young,17.1,1.2,15.588,0.004,17.908,0.007,15.885,0.006,15.234,0.008,17.238,0.011,16.074,0.006,15.325,0.004,16.710,0.006,15.933,0.013,15.912,0.029
2MASS J01311838+3801554,14.0,Field,40.9,0.5,13.380,0.003,15.075,0.002,13.602,0.005,13.047,0.004,14.569,0.004,13.652,0.002,13.162,0.002,14.161,0.002,13.572,0.006,13.684,0.050
2MASS J01414839-1601196,17.0,Field,29.0,6.0,14.832,0.009,16.557,0.008,15.145,0.016,14.354,0.017,16.268,0.020,15.045,0.008,14.511,0.008,15.683,0.009,14.970,0.025,15.225,0.113
2MASS J01415823-4633574,10.0,Young,27.3,0.4,13.474,0.002,15.159,0.002,13.645,0.004,13.248,0.005,14.648,0.005,13.814,0.002,13.325,0.002,14.303,0.002,13.702,0.006,13.656,0.025
2MASS J01443536-0716142,15.0,Field,78.5,0.5,12.664,0.002,14.625,0.002,12.934,0.003,12.265,0.003,14.027,0.005,12.995,0.002,12.404,0.002,13.548,0.002,12.915,0.006,12.993,0.018
2MASS J01460119-4545263,9.0,Field,16.9,0.9,13.310,0.006,14.642,0.003,13.435,0.010,13.118,0.009,14.126,0.010,13.537,0.004,13.192,0.005,13.886,0.005,13.466,0.010,13.462,0.047
2MASS J01472702+4731142,11.5,Field,20.8,1.4,14.708,0.008,16.148,0.002,14.882,0.014,14.420,0.005,15.711,0.014,14.922,0.002,14.535,0.002,15.369,0.006,14.858,0.006,14.963,0.089
2MASS J01550354+0950003,15.0,Young,45.0,0.5,13.581,0.003,15.223,0.003,13.838,0.004,13.179,0.007,14.842,0.007,13.770,0.003,13.319,0.003,14.354,0.003,13.680,0.007,14.012,0.017
2MASS J02042212-3632308,9.0,Field,31.24,0.11,12.446,0.002,13.546,0.002,12.590,0.003,12.220,0.004,13.199,0.003,12.567,0.002,12.289,0.002,12.927,0.001,12.485,0.005,12.727,0.017
2MASS J02132062+3648506C,23.0,Field,70.02,0.2,15.172,0.006,15.639,0.003,15.504,0.011,14.534,0.009,16.635,0.017,14.683,0.004,14.738,0.006,15.450,0.005,14.688,0.011,15.685,0.065
2MASS J02192196+0506306,11.0,Field,25.7,0.7,13.838,0.002,15.279,0.002,14.070,0.003,13.476,0.005,14.960,0.003,14.012,0.002,13.598,0.002,14.526,0.002,13.926,0.005,14.161,0.014
2MASS J02271036-1624479,11.0,Field,49.86,0.22,12.393,0.001,13.897,0.002,12.590,0.002,12.083,0.004,13.418,0.002,12.603,0.002,12.189,0.001,13.054,0.001,12.530,0.005,12.753,0.009
2MASS J02284243+1639329,10.0,Field,46.12,0.19,12.113,0.001,13.417,0.001,12.254,0.002,11.890,0.003,12.938,0.002,12.311,0.002,11.970,0.002,12.669,0.002,12.240,0.005,12.290,0.009
2MASS J02301551+2704061,10.0,Field,22.9,0.3,13.276,0.001,14.561,0.002,13.439,0.002,13.017,0.004,14.159,0.002,13.444,0.002,13.109,0.002,13.849,0.001,13.365,0.005,13.525,0.008
2MASS J02304442-3027275,11.0,Field,17.4,1.1,14.980,0.004,16.291,0.005,15.158,0.007,14.690,0.012,15.988,0.007,15.132,0.006,14.791,0.005,15.620,0.004,15.041,0.014,15.247,0.037
2MASS J02411151-0326587,10.0,Young,18.5,2.1,14.446,0.005,16.076,0.005,14.628,0.006,14.199,0.011,15.566,0.010,14.754,0.005,14.277,0.005,15.228,0.006,14.651,0.014,14.768,0.039
2MASS J0249-0557 c,12.0,Young,15.09,0.06,15.225,0.006,17.022,0.004,15.428,0.012,14.938,0.008,16.500,0.015,15.545,0.004,15.039,0.004,16.094,0.006,15.414,0.011,15.595,0.075
2MASS J02572581-3105523,18.0,Field,102.7,0.5,13.248,0.003,15.052,0.003,13.548,0.006,12.806,0.008,14.676,0.005,13.476,0.004,12.944,0.003,14.084,0.003,13.384,0.012,13.681,0.015
2MASS J03001631+2130205,16.0,Field,30.0,4.0,14.628,0.007,16.189,0.003,14.887,0.013,14.202,0.005,15.873,0.019,14.749,0.003,14.347,0.002,15.335,0.007,14.671,0.007,15.016,0.098
2MASS J03101401-2756452,15.0,Field,30.0,5.0,14.251,0.003,16.116,0.003,14.528,0.005,13.830,0.006,15.682,0.006,14.509,0.004,13.977,0.003,15.130,0.004,14.406,0.008,14.615,0.028
2MASS J03140344+1603056,10.0,Field,72.63,0.19,11.513,0.001,12.815,0.002,11.674,0.001,11.261,0.003,12.401,0.002,11.694,0.002,11.347,0.001,12.095,0.001,11.617,0.005,11.750,0.004
2MASS J03185403-3421292,17.0,Field,71.0,1.8,14.035,0.004,16.075,0.004,14.344,0.006,13.607,0.010,15.566,0.010,14.390,0.004,13.740,0.004,15.001,0.004,14.285,0.011,14.397,0.017
2MASS J03201720-1026124,8.0,Field,24.19,0.22,12.962,0.001,14.086,0.002,13.088,0.002,12.763,0.004,13.667,0.002,13.115,0.002,12.830,0.002,13.433,0.001,13.042,0.005,13.185,0.010
2MASS J03231002-4631237,10.0,Young,23.4,0.7,13.933,0.006,15.789,0.004,14.097,0.009,13.746,0.009,15.129,0.011,14.357,0.006,13.796,0.005,14.829,0.006,14.229,0.012,13.946,0.042
2MASS J03250136+2253039,13.0,Field,30.3,1.2,14.198,0.001,15.770,0.002,14.422,0.002,13.843,0.004,15.356,0.002,14.404,0.002,13.968,0.002,14.923,0.001,14.322,0.005,14.502,0.006
2MASS J03264225-2102057,15.0,Young,37.7,1.8,14.356,0.003,16.534,0.004,14.696,0.005,13.904,0.006,16.056,0.009,14.726,0.003,14.049,0.002,15.428,0.003,14.593,0.008,14.807,0.031
2MASS J03320043-2317496,8.0,Field,30.1,0.14,12.777,0.002,13.845,0.002,12.908,0.002,12.564,0.004,13.525,0.002,12.905,0.002,12.640,0.002,13.271,0.002,12.812,0.005,13.006,0.009
2MASS J03354535+0658058,8.0,Field,31.95,0.18,12.500,0.002,13.683,0.001,12.623,0.003,12.311,0.004,13.246,0.003,12.676,0.002,12.376,0.002,13.008,0.002,12.590,0.004,12.647,0.018
2MASS J03521086+0210479,9.0,Field,51.27,0.21,12.202,0.001,13.395,0.001,12.328,0.002,12.004,0.003,12.974,0.002,12.377,0.002,12.077,0.001,12.730,0.001,12.289,0.004,12.379,0.011
2MASS J03540135+2316339,8.5,Young,33.59,0.12,12.258,0.001,13.356,0.001,12.384,0.002,12.061,0.003,12.990,0.002,12.400,0.002,12.123,0.001,12.739,0.001,12.332,0.004,12.464,0.008
2MASS J04012977-4050448,10.0,Field,22.01,0.26,13.473,0.005,14.814,0.002,13.610,0.009,13.253,0.006,14.385,0.007,13.692,0.002,13.341,0.003,14.098,0.003,13.604,0.007,13.591,0.050
2MASS J04070752+1546457,13.5,Field,28.3,1.4,13.931,0.014,15.957,0.008,14.172,0.022,13.551,0.036,15.283,0.020,14.234,0.012,13.701,0.015,14.798,0.011,14.165,0.030,14.251,0.098
2MASS J04070885+1514565,25.0,Young,56.7,2.1,15.894,0.006,16.278,0.003,16.409,0.014,15.086,0.009,17.571,0.027,15.653,0.004,15.353,0.005,16.338,0.006,16.038,0.015,16.573,0.073
2MASS J04081032+0742494,8.0,Field,28.12,0.21,12.682,0.001,13.820,0.002,12.809,0.002,12.478,0.004,13.419,0.003,12.834,0.002,12.551,0.002,13.176,0.002,12.753,0.004,12.879,0.011
2MASS J04174743-2129191,8.0,Field,29.29,0.18,12.886,0.002,14.171,0.002,13.004,0.003,12.703,0.004,13.660,0.003,13.112,0.002,12.776,0.002,13.437,0.002,13.039,0.006,13.007,0.013
2MASS J04203904+2355502,11.0,Young,25.2,0.6,13.839,0.003,15.278,0.003,14.021,0.004,13.568,0.006,14.926,0.006,14.042,0.003,13.661,0.003,14.540,0.003,13.944,0.006,14.094,0.026
2MASS J04270723+0859027,8.0,Field,46.53,0.14,12.041,0.001,13.161,0.001,12.189,0.002,11.803,0.004,12.841,0.002,12.173,0.002,11.881,0.001,12.556,0.001,12.097,0.005,12.307,0.007
2MASS J04305157-0849007,8.0,Field,31.95,0.24,12.082,0.001,13.145,0.001,12.211,0.002,11.861,0.004,12.809,0.002,12.191,0.002,11.942,0.002,12.550,0.001,12.111,0.005,12.337,0.008
2MASS J04362054-4218523,10.0,Field,23.3,0.7,13.408,0.006,14.834,0.002,13.558,0.010,13.162,0.005,14.374,0.010,13.634,0.002,13.260,0.003,14.064,0.004,13.551,0.006,13.613,0.064
2MASS J04362788-4114465,8.0,Young,25.34,0.1,12.317,0.002,13.335,0.002,12.459,0.003,12.106,0.005,13.108,0.003,12.421,0.002,12.169,0.002,12.818,0.002,12.324,0.005,12.558,0.013
2MASS J04433761+0002051,9.0,Young,47.62,0.14,11.511,0.001,12.799,0.001,11.654,0.002,11.310,0.004,12.444,0.002,11.736,0.002,11.377,0.002,12.159,0.001,11.626,0.004,11.675,0.007
2MASS J04441479+0543573,8.0,Young,23.26,0.27,12.797,0.002,13.923,0.002,12.903,0.002,12.642,0.004,13.514,0.003,12.981,0.002,12.694,0.002,13.301,0.002,12.899,0.005,12.912,0.012
2MASS J04474307-1936045,15.0,Field,21.0,5.0,14.514,0.003,16.392,0.005,14.804,0.005,14.089,0.009,15.901,0.008,14.795,0.005,14.236,0.005,15.384,0.005,14.707,0.014,14.976,0.025
2MASS J05002100+0330501,14.0,Field,75.61,0.29,12.438,0.001,14.084,0.001,12.710,0.002,12.022,0.003,13.736,0.003,12.635,0.002,12.164,0.001,13.214,0.001,12.544,0.005,12.843,0.013
2MASS J05012406-0010452,14.0,Young,47.8,0.8,13.422,0.002,15.408,0.002,13.665,0.002,13.091,0.004,14.878,0.004,13.800,0.002,13.202,0.002,14.406,0.002,13.679,0.006,13.688,0.012
2MASS J05103520-4208140,25.0,Field,53.8,2.4,16.188,0.021,16.492,0.006,16.663,0.040,15.419,0.024,17.608,0.053,15.875,0.013,15.656,0.017,16.514,0.015,16.255,0.048,16.723,0.262
2MASS J05160945-0445499,25.5,Field,47.8,2.9,15.964,0.017,16.159,0.002,16.584,0.045,15.075,0.007,17.822,0.059,15.555,0.003,15.345,0.004,16.289,0.008,16.001,0.011,16.643,0.309
2MASS J05170548-4154413,9.0,Field,27.0,0.3,12.454,0.004,13.745,0.001,12.539,0.006,12.310,0.004,13.211,0.005,12.703,0.002,12.390,0.002,13.016,0.002,12.629,0.005,12.492,0.041
2MASS J05173766-3349027,8.0,Field,59.47,0.08,11.112,0.002,12.313,0.001,11.268,0.003,10.871,0.003,11.971,0.004,11.263,0.002,10.951,0.001,11.669,0.002,11.174,0.004,11.349,0.022
2MASS J05184616-2756457,11.0,Young,18.3,0.6,13.967,0.003,15.648,0.003,14.169,0.005,13.669,0.005,15.159,0.006,14.237,0.003,13.772,0.003,14.768,0.003,14.115,0.008,14.270,0.030
2MASS J05264348-4455455,9.5,Field,30.4,0.19,13.045,0.004,14.455,0.002,13.238,0.006,12.756,0.005,14.021,0.005,13.240,0.003,12.847,0.003,13.676,0.002,13.149,0.006,13.378,0.031
2MASS J05341594-0631397,8.0,Young,3.6,0.8,15.349,0.005,16.294,0.003,15.456,0.007,15.171,0.013,16.092,0.007,15.453,0.005,15.240,0.006,15.836,0.004,15.359,0.011,15.585,0.034
2MASS J05345844-1511439,9.0,Field,50.57,0.13,12.315,0.001,13.476,0.002,12.458,0.002,12.085,0.004,13.114,0.002,12.465,0.002,12.165,0.002,12.840,0.001,12.390,0.004,12.537,0.008
2MASS J05361998-1920396,12.0,Young,21.1,1.6,14.142,0.003,16.168,0.003,14.387,0.004,13.805,0.006,15.613,0.006,14.532,0.004,13.920,0.003,15.135,0.004,14.401,0.009,14.464,0.024
2MASS J05441150-2433018,8.0,Field,48.65,0.08,11.692,0.001,12.773,0.001,11.783,0.002,11.547,0.003,12.375,0.002,11.852,0.002,11.609,0.001,12.170,0.002,11.763,0.005,11.787,0.012
2MASS J05445741+3705039,11.9,Young,34.4,0.3,12.836,0.001,14.328,0.002,13.055,0.002,12.500,0.003,14.016,0.003,13.022,0.002,12.615,0.001,13.565,0.002,12.916,0.004,13.135,0.010
2MASS J05591914-1404488,24.5,Field,95.3,0.7,13.879,0.006,14.137,0.003,14.282,0.011,13.141,0.011,15.358,0.014,13.460,0.005,13.392,0.005,14.162,0.005,13.681,0.013,14.413,0.054
2MASS J06020638+4043588,24.5,Field,76.0,3.0,15.642,0.008,15.848,0.003,16.074,0.015,14.880,0.012,17.226,0.025,15.209,0.004,15.126,0.007,15.930,0.005,15.462,0.015,16.196,0.086
2MASS J06050196-2342270,10.0,Field,30.19,0.27,13.512,0.002,14.779,0.002,13.685,0.003,13.233,0.005,14.444,0.003,13.647,0.003,13.328,0.002,14.095,0.002,13.563,0.007,13.773,0.014
2MASS J06085283-2753583,8.5,Young,22.62,0.16,12.659,0.001,13.919,0.001,12.822,0.002,12.419,0.004,13.649,0.003,12.853,0.002,12.497,0.002,13.320,0.002,12.739,0.005,12.924,0.009
2MASS J06143818+3950357,19.0,Young,44.0,2.6,15.469,0.005,16.995,0.004,15.828,0.010,14.928,0.008,16.981,0.014,15.498,0.004,15.086,0.004,16.196,0.005,15.400,0.009,16.051,0.055
2MASS J06244595-4521548,15.0,Young,82.0,0.4,12.989,0.002,14.881,0.003,13.280,0.003,12.564,0.004,14.433,0.005,13.258,0.002,12.702,0.002,13.867,0.002,13.164,0.006,13.429,0.016
2MASS J06411840-4322329,11.5,Field,51.17,0.16,12.820,0.004,14.076,0.002,13.040,0.007,12.461,0.004,13.879,0.008,12.887,0.002,12.582,0.002,13.434,0.003,12.771,0.006,13.238,0.059
2MASS J06431685-1843375,8.0,Field,42.92,0.13,12.009,0.002,13.309,0.001,12.164,0.003,11.770,0.003,12.858,0.003,12.192,0.002,11.852,0.002,12.566,0.002,12.126,0.004,12.218,0.019
2MASS J07231462+5727081,11.0,Field,39.84,0.26,12.775,0.001,14.366,0.002,12.953,0.002,12.513,0.004,13.802,0.003,13.052,0.002,12.604,0.002,13.482,0.002,12.969,0.005,12.956,0.007
2MASS J07290002-3954043,28.0,Field,126.0,8.0,16.841,0.036,16.187,0.008,17.565,0.084,15.866,0.045,18.711,0.141,15.729,0.012,16.104,0.026,16.529,0.016,16.492,0.053,18.299,0.776
2MASS J07410404-0359495,10.0,Young,33.3,0.29,13.517,0.002,14.589,0.002,13.666,0.003,13.286,0.004,14.360,0.003,13.617,0.002,13.362,0.002,14.051,0.002,13.518,0.005,13.727,0.014
2MASS J07415784+0531568,11.5,Field,38.4,0.4,13.418,0.002,14.712,0.002,13.614,0.003,13.100,0.005,14.438,0.003,13.551,0.002,13.212,0.002,14.048,0.002,13.454,0.007,13.712,0.015
2MASS J08041429+0330474,8.5,Field,27.69,0.28,12.776,0.001,13.936,0.002,12.941,0.002,12.501,0.004,13.608,0.003,12.906,0.002,12.602,0.002,13.308,0.002,12.827,0.005,13.019,0.011
2MASS J08194602+1658539,9.0,Field,33.05,0.25,12.910,0.002,14.041,0.002,13.054,0.002,12.689,0.004,13.678,0.002,13.076,0.002,12.767,0.002,13.430,0.001,13.000,0.005,13.090,0.010
2MASS J08230838+6125208,12.0,Field,39.5,0.4,13.531,0.002,15.160,0.002,13.738,0.003,13.214,0.003,14.672,0.003,13.791,0.002,13.328,0.002,14.287,0.002,13.700,0.005,13.833,0.015
2MASS J08234818+2428577,13.0,Field,40.1,0.8,13.718,0.001,15.433,0.002,13.964,0.002,13.364,0.004,14.916,0.004,14.014,0.002,13.480,0.002,14.509,0.002,13.943,0.005,14.029,0.009
2MASS J08315598+1025417,9.0,Young,31.7,0.2,12.772,0.002,13.900,0.002,12.907,0.003,12.561,0.005,13.536,0.003,12.913,0.003,12.632,0.002,13.283,0.002,12.828,0.006,12.984,0.010
2MASS J08352366+1029318,7.0,Field,36.9,0.15,12.319,0.001,13.399,0.001,12.439,0.002,12.132,0.004,13.004,0.002,12.468,0.002,12.197,0.002,12.783,0.001,12.395,0.004,12.487,0.006
2MASS J08355829+0548308,12.0,Field,25.7,0.4,13.493,0.002,14.922,0.002,13.688,0.003,13.174,0.004,14.537,0.003,13.670,0.002,13.291,0.002,14.153,0.002,13.601,0.006,13.773,0.013
2MASS J08391608+1253543,9.0,Field,23.99,0.22,12.909,0.002,14.004,0.001,13.045,0.002,12.694,0.003,13.681,0.002,13.045,0.002,12.770,0.002,13.417,0.001,12.966,0.005,13.096,0.011
2MASS J08593854+6341355,10.0,Field,45.45,0.17,12.590,0.001,13.983,0.002,12.720,0.002,12.388,0.004,13.430,0.002,12.838,0.002,12.471,0.002,13.183,0.001,12.765,0.005,12.713,0.009
2MASS J08594029+1145325,8.0,Young,53.82,0.12,11.757,0.001,13.022,0.001,11.886,0.002,11.555,0.003,12.543,0.002,11.960,0.002,11.628,0.001,12.303,0.001,11.883,0.004,11.935,0.006
2MASS J09054654+5623117,15.0,Field,41.3,1.1,14.178,0.010,15.798,0.010,14.473,0.015,13.704,0.035,15.566,0.019,14.279,0.014,13.868,0.013,14.931,0.011,14.191,0.037,14.635,0.067
2MASS J09161504+2139512,9.0,Young,48.5,0.4,12.372,0.001,13.453,0.001,12.531,0.002,12.107,0.004,13.177,0.002,12.462,0.002,12.198,0.002,12.869,0.001,12.384,0.005,12.644,0.009
2MASS J09211410-2104446,11.5,Field,79.57,0.15,12.080,0.001,13.084,0.002,12.282,0.002,11.728,0.004,13.064,0.003,12.079,0.002,11.854,0.002,12.626,0.002,11.962,0.006,12.431,0.009
2MASS J09312823+0528223,7.0,Young,35.15,0.11,12.083,0.001,13.039,0.001,12.205,0.002,11.875,0.003,12.755,0.002,12.157,0.002,11.948,0.002,12.504,0.001,12.079,0.004,12.294,0.007
2MASS J09384022-2748184,8.0,Field,35.32,0.1,12.130,0.002,13.266,0.002,12.247,0.002,11.953,0.006,12.858,0.003,12.299,0.002,12.011,0.002,12.626,0.002,12.230,0.006,12.303,0.012
2MASS J09393548-2448279,28.0,Field,187.0,5.0,17.035,0.051,16.195,0.007,17.573,0.122,16.220,0.054,18.428,0.141,15.690,0.009,16.419,0.020,16.471,0.014,16.774,0.051,18.095,1.066
2MASS J09474477+0224327,8.0,Young,29.85,0.15,12.395,0.001,13.457,0.001,12.522,0.002,12.199,0.003,13.143,0.002,12.508,0.002,12.262,0.002,12.878,0.001,12.423,0.005,12.615,0.009
2MASS J09490860-1545485,22.0,Field,42.2,2.7,15.338,0.010,16.309,0.004,15.617,0.019,14.749,0.009,16.596,0.022,15.084,0.003,14.955,0.005,15.746,0.006,15.059,0.008,15.830,0.169
2MASS J09593276+4523309,13.0,Young,30.2,2.8,14.131,0.002,16.399,0.003,14.437,0.004,13.744,0.005,15.784,0.006,14.560,0.003,13.859,0.002,15.217,0.003,14.424,0.007,14.532,0.021
2MASS J10031918-0105079,7.0,Field,50.14,0.1,11.523,0.001,12.553,0.001,11.640,0.002,11.333,0.004,12.201,0.002,11.645,0.002,11.399,0.001,11.970,0.001,11.569,0.004,11.709,0.006
2MASS J10073369-4555147,25.0,Field,72.6,2.8,15.817,0.027,16.093,0.006,16.404,0.064,14.956,0.029,17.533,0.099,15.523,0.013,15.229,0.018,16.216,0.020,16.014,0.053,15.947,0.208
2MASS J10163470+2751497,8.0,Field,49.62,0.07,11.199,0.001,12.227,0.001,11.322,0.002,11.009,0.003,11.864,0.002,11.316,0.002,11.069,0.001,11.633,0.001,11.245,0.004,11.434,0.006
2MASS J10213232-2044069,9.0,Field,45.73,0.13,12.321,0.001,13.425,0.002,12.436,0.002,12.136,0.004,13.055,0.002,12.471,0.002,12.207,0.002,12.820,0.001,12.383,0.005,12.456,0.010
2MASS J10224821+5825453,11.0,Young,53.97,0.16,12.477,0.002,13.808,0.002,12.667,0.002,12.179,0.003,13.463,0.002,12.616,0.002,12.278,0.002,13.091,0.001,12.524,0.004,12.842,0.010
2MASS J10315064+3349595,12.0,Field,21.5,1.5,14.669,0.004,16.325,0.003,14.917,0.006,14.296,0.007,15.893,0.007,14.914,0.004,14.422,0.004,15.443,0.003,14.835,0.009,15.042,0.036
2MASS J10430758+2225236,18.0,Field,52.4,2.9,14.446,0.004,16.363,0.005,14.823,0.008,13.912,0.007,16.179,0.018,14.657,0.003,14.076,0.003,15.381,0.005,14.545,0.009,14.985,0.067
2MASS J10461875+4441149,15.0,Field,28.9,1.3,14.511,0.003,15.967,0.003,14.761,0.004,14.109,0.006,15.682,0.005,14.636,0.003,14.250,0.003,15.197,0.003,14.547,0.007,14.852,0.021
2MASS J10511900+5613086,12.0,Field,63.92,0.13,12.169,0.002,13.581,0.002,12.360,0.002,11.866,0.004,13.163,0.003,12.359,0.002,11.975,0.002,12.816,0.002,12.280,0.005,12.460,0.010
2MASS J10554733+0808427,8.0,Field,53.87,0.1,11.689,0.001,12.818,0.002,11.818,0.002,11.485,0.003,12.452,0.002,11.847,0.002,11.559,0.001,12.202,0.001,11.768,0.004,11.873,0.006
2MASS J10595185+3042059,24.0,Field,39.0,3.0,16.093,0.011,16.576,0.004,16.541,0.022,15.333,0.013,17.620,0.032,15.750,0.005,15.582,0.007,16.459,0.007,15.924,0.014,16.967,0.186
2MASS J11000965+4957470,13.5,Field,39.3,0.8,13.840,0.004,15.620,0.005,14.074,0.007,13.495,0.015,15.100,0.008,14.116,0.008,13.612,0.005,14.652,0.006,14.032,0.020,14.132,0.020
2MASS J11145133-2618235,27.5,Field,179.2,1.4,16.704,0.106,16.151,0.008,17.252,0.252,15.931,0.058,18.794,0.319,15.596,0.016,16.106,0.038,16.410,0.024,16.675,0.114,17.375,1.438
2MASS J11181292-0856106,16.0,Field,43.7,2.0,14.618,0.006,15.947,0.006,14.892,0.010,14.175,0.014,15.818,0.016,14.636,0.007,14.320,0.006,15.246,0.008,14.551,0.017,15.297,0.079
2MASS J11220826-3512363,22.0,Field,75.4,1.6,14.554,0.013,15.333,0.002,14.832,0.023,13.990,0.012,15.881,0.028,14.169,0.004,14.168,0.005,14.885,0.007,14.155,0.007,15.087,0.169
2MASS J11240487+3808054,8.5,Field,54.31,0.15,11.856,0.001,12.970,0.001,12.001,0.002,11.626,0.003,12.645,0.002,11.996,0.002,11.706,0.001,12.374,0.001,11.910,0.004,12.073,0.007
2MASS J11263991-5003550,14.5,Field,61.83,0.25,13.176,0.010,14.340,0.002,13.423,0.019,12.760,0.009,14.351,0.015,13.156,0.003,12.900,0.005,13.786,0.005,13.039,0.007,13.565,0.117
2MASS J11414406-2232156,7.5,Field,52.71,0.15,11.840,0.001,12.895,0.001,11.975,0.002,11.619,0.004,12.566,0.002,11.949,0.002,11.694,0.002,12.309,0.001,11.868,0.004,12.075,0.007
2MASS J11533966+5032092,11.0,Field,25.88,0.23,13.140,0.002,14.430,0.001,13.326,0.003,12.848,0.004,14.083,0.003,13.282,0.002,12.940,0.002,13.728,0.002,13.206,0.005,13.472,0.013
2MASS J11544223-3400390,10.0,Young,26.5,0.4,13.118,0.002,14.601,0.002,13.311,0.003,12.822,0.005,14.193,0.003,13.332,0.002,12.925,0.002,13.817,0.002,13.240,0.006,13.387,0.013
